state,fips,median_age,median_income,foreign_born,population_2022,poverty_perc,white_poverty_perc,blkAA_poverty_perc,AIAN_poverty_perc,asian_poverty_perc,PI_poverty_perc,other_poverty_perc,twomore_poverty_perc,hisp_poverty_perc,whitenon_poverty_perc,total_population,white_total,blkAA_total,AIAN_total,asian_total,PI_total,other_total,twomore_total,whitenon_edu_perc,white_edu_perc,blkAA_edu_perc,AIAN_edu_perc,asian_edu_perc,PI_edu_perc,other_edu_perc,twomore_edu_perc,hisp_edu_perc,no_highschool,employment_perc,unemployment_perc,leg_ctrl,gov_party,state_ctrl,bills_introduced,bills_enacted,reincarceration,det_sentencing,ag_employment,construct_employment,manu_employment,wtrade_employment,rtrade_employment,trans_employment,info_employment,finance_employment,prof_employment,edu_employment,arts_employment,other_employment,public_employment
Iowa,19,38.4,41684,190727,3200517,7,6,27.8,26.5,7.3,29.8,12.2,13.8,15.1,5.7,3190369,2694521,131972,14486,75629,5758,88720,179283,31.1,30.7,18.2,13.9,47.3,12.1,15.9,26.2,15.6,7,64,3.8,0,0,0,"1,862",201,37,0,3.7,6.7,14.9,2.7,11.6,5.2,1.4,7.7,7.5,24.2,7,4.2,3.2
Kansas,20,37.1,40520,207583,2937150,7.6,6.2,17.8,17.5,9.1,13.8,18.2,14.2,16.3,5.7,2937880,2222462,168809,30995,86273,3412,145422,280507,37.5,36.4,22.2,18.1,51.7,10.6,13.7,25.8,15.3,8.2,62.7,4,0,1,0.5,882,161,27,1,3.1,6.4,12.4,2.5,10.6,5.3,1.7,6.5,9.8,24.6,8,4.5,4.6
Kentucky,21,39.1,34807,180899,4512310,11.7,10.7,21.1,14.2,9,4.9,22.4,18.2,18.5,10.6,4505836,3711254,362417,12801,74426,3681,96417,244840,26.8,26.7,19.5,16.8,55,10.2,18,24.8,21.8,11.8,56.1,5.1,0,1,0.5,"1,247",443,29,0,1.8,6.2,14.2,2.3,11.8,6.8,1.4,5.6,9,24,8.1,4.5,4.3
Louisiana,22,37.6,33230,192895,4590241,13.9,8.6,25.2,15.3,11.1,19.8,25.7,16.5,19.1,8.4,4657757,2657652,1464023,31657,86438,1911,142699,273377,30.1,29.9,17.4,12.3,45.4,33.5,16,28.1,22.2,13.3,54.9,6.6,0,0,0,"1,623","1,125",30,0,3.4,8.1,7.5,2.5,11.3,5.7,1.4,5.1,9.5,25,9.8,5.2,5.5
Maine,23,44.8,39563,47418,1385340,6.4,6.1,19.1,15.6,7.9,0,12.7,10.5,8.3,6.1,1362359,1237041,25752,7885,16798,443,9730,64710,34.1,34.2,32.3,19.3,45.7,25.1,40.2,31.3,36,5.9,59.5,4,1,1,1,"2,170",557,21,1,2.5,7.6,9,1.9,12.9,4.3,1.6,6.4,9.6,27.4,7.8,4.5,4.4
Maryland,24,39.1,59311,1029710,6164660,6.2,3.8,9.6,10.7,5.9,1.3,12.7,8.3,10,3.7,6177224,3007874,1820472,31845,420944,3247,410941,481901,47.4,46.8,32.7,24.3,64.1,39.5,16.3,44.8,24.7,9,63.2,5.1,1,1,1,"2,031",713,32,0,0.6,7.4,4.7,1.7,9.2,5,1.8,6,16.1,23.6,7.8,5.3,11
Massachusetts,25,39.8,56588,1259871,6981974,6.5,4.6,13.4,18.5,7.4,15.1,16.8,13.8,18.6,4,7029917,4896037,494029,24018,507934,2301,496731,608867,49.2,48.3,30.3,24.4,63.4,40.5,18.9,33.5,22.4,8.8,63.5,5.3,1,1,1,"10,508",21,29,0,0.4,6,9,2,9.9,4.2,2.1,7.3,15.3,27.9,7.7,4.3,3.8
Michigan,26,39.9,40380,695203,10034118,8.8,6.7,21.7,16.8,6.3,19.1,15.1,12.8,15.6,6.5,10077331,7444974,1376579,61261,334300,3051,221851,635315,32.3,32.1,18.7,13.5,65.3,34.7,20.9,29.2,22.5,8.2,57.7,6,1,1,1,"1,602",303,22,0,1.1,5.8,18.6,2.2,10.8,4.7,1.2,5.7,9.9,23.2,8.9,4.5,3.5
Minnesota,27,38.5,49489,498826,5717184,5.5,3.8,20.5,27.6,9.1,11.6,13.7,11.2,13.9,3.6,5706494,4423146,398434,68641,299190,2918,168444,345721,39.8,39.6,23,14.2,46,15.1,18.9,34,22.7,6.3,65.9,4,0.5,1,0.5,"6,777",94,19,1,2.1,6.2,13.4,2.7,10.9,4.9,1.4,7.2,10.3,25.4,7.4,4.3,3.7
Mississippi,28,38.1,28909,65448,2940057,14.4,8.1,25.4,22.3,9.1,62.6,22.6,15.8,19.3,7.9,2961279,1658893,1084481,16450,32709,1154,56860,110732,27.7,27.5,17.5,9.8,45.8,30.7,16,22.5,16,13.8,53,6.4,0,0,0,"3,525",817,35,0,2.3,6.8,13.3,2.2,11.4,7,1.1,4.6,7,25.2,9,4.7,5.2
Missouri,29,38.8,38396,252575,6177957,8.5,7,19.1,15.7,5.6,13.2,16.3,12.4,15.6,6.8,6154913,4740335,699840,30518,133377,9730,127942,413171,32.2,32.1,20.3,20.4,62.7,19.3,20.8,28.6,23.5,8.7,59.8,4.3,0,0,0,"2,318",53,30,0,1.6,6.8,11.4,2.6,11.4,5.9,1.6,7.2,10.1,24,8.4,4.8,4.3
Montana,30,40.1,39863,23366,1122867,7.3,6,9.7,30.1,10.3,1.5,13.4,11.4,14.6,5.9,1084225,916524,5484,67612,8300,941,14089,71275,35.3,35.1,27.9,15,53,14.3,28.2,29.8,23.5,5.5,60.2,3.9,0,0,0,"1,801",807,37,0,6.3,8.6,4.8,2.1,12.2,5.2,1.6,5.4,9.4,23,10.8,5,5.7
Nebraska,31,36.9,41249,142569,1967923,6.7,5.4,19.4,21.1,5.8,16.8,15,12.9,14.5,5,1961504,1538052,96535,23102,52951,1534,105167,144163,35.8,35.1,21,12.9,43.6,16.7,13.2,25.9,15,8.1,66.3,3.1,0,0,0,"1,133",165,30,0,4.3,7.3,10.3,2.4,10.8,6,1.6,7.8,9.2,24.3,7.3,4.5,4.3
Nevada,32,38.5,46110,600957,3177772,9,6.7,17,19.3,7.7,10.5,15.1,10.3,13.1,5.7,3104614,1588463,304739,43932,272703,25011,435757,434009,31.7,29.5,20.2,12.2,41.6,18.8,9.4,19.9,12.3,12.9,58.4,7,1,0,0.5,968,494,24,0,1.4,7.6,5.2,2,11.4,6.8,1.5,5.8,12,16.8,20.9,4.6,4.2
New Hampshire,33,43.1,51252,86751,1395231,4.4,4.1,10.7,1.4,5.3,0,7.8,7.7,10.8,4,1377529,1216203,20127,3031,35871,453,24102,77742,39.1,38.9,26.2,22.1,61.1,26.6,28.7,34,26.7,6.2,64.1,3.6,0,0,0,787,129,48,0,0.7,7.1,13,2.4,12.1,3.9,2,6.3,11.8,24.4,8.2,4.2,4
New Jersey,34,40,55112,2181082,9261699,6.9,4.6,12.5,13.4,4.6,12.6,16.5,11.6,14.4,3.7,9288994,5112280,1219770,51186,950090,3533,1048641,903494,46.9,44.7,27.1,20.8,71.8,30.9,17.1,32.3,21.9,9.4,61.8,6.2,1,1,1,"1,434",56,29,0,0.3,6.1,8.1,3.1,10.7,6.5,2.6,8.6,14.1,24,7.3,4.2,4.3
New Mexico,35,38.6,36646,196873,2113344,13.7,10.8,17.4,27.9,7.6,14.5,19.7,14.6,17.6,7.1,2117522,1078937,45904,212241,37469,2093,318632,422246,42.2,34.6,31.2,11.5,54,28.6,13.7,24.1,18.7,12.9,53.2,6.2,1,1,1,"1,294",351,49,1,4.1,7.4,4.1,1.8,11,4.7,1.4,4.8,12.1,25.4,10.3,5.4,7.6
