"state","macroeconomy","socioeconomics","politics","diversity"
"Alabama",-0.840444051741548,-1.30691499606147,-0.201106620885805,0.986852079504294
"Alaska",-0.809173596420514,1.08973488293291,-0.745733490025692,1.28869743042434
"Arizona",-0.624922473365566,-0.276440824673003,-0.420234316720342,1.25685958263966
"Arkansas",-0.751463381611738,-1.32126940444394,0.0159013045109208,0.999243348481848
"California",-0.782036843411163,-0.207071308883616,-0.17043259179636,1.51320030046247
"Colorado",0.854322383036517,1.09888416923495,-0.372255087968144,1.01878750956371
"Connecticut",-0.187881351210679,0.618818261302628,0.0208006008760037,1.11125736664144
"Delaware",-0.407828449290751,0.344976846891976,-0.514339953904216,1.15013352816715
"Florida",-0.553935699444521,-0.346977305444102,-0.317568880537802,1.22387293787173
"Georgia",-0.162025226507751,-0.509777858286384,0.464522263722645,1.21141759631696
"Hawaii",-0.41225396899484,1.04732916171238,0.293703458944621,1.45105017040767
"Idaho",0.595242601141252,0.131657321035495,-0.507866450118226,0.705334580110954
"Illinois",-0.344703903863868,0.0638083252161238,0.91786030421348,1.21276861444497
"Indiana",0.365860828868185,-0.321497644273068,-0.324299805907178,0.842260091254001
"Iowa",1.11084090831894,0.404476272713027,-0.39843492005145,0.660432331636139
"Kansas",0.837900932526586,0.107812610740691,-0.586029653090258,0.90777679876831
"Kentucky",-0.588642863555627,-1.21283124825953,-0.338011242985139,0.693280066524256
"Louisiana",-1.47559649084847,-1.7994682568573,0.178601209368532,1.06824461323787
"Maine",0.403712884376956,0.544774807462653,-0.110420156043447,0.429287512217429
"Maryland",0.374711868276364,1.02387335117883,-0.0291966900739706,1.30394329801899
"Massachusetts",0.318865916558828,0.888156572342143,0.901183298584125,1.04954567093235
"Michigan",-0.806028705022849,-0.0724873791383228,-0.373096006536166,0.900318642232695
"Minnesota",1.27208898067622,1.05495248111797,0.337242074991032,0.868782467018733
"Mississippi",-1.63684456320575,-2.12650474348534,0.285482870939907,0.972949519934696
"Missouri",0.299591392043637,-0.181567079359915,-0.422271245740177,0.829720376997095
"Montana",0.54696706052547,0.480145031648886,-0.00426753498384191,0.620620677079807
"Nebraska",1.76084235223696,0.283462679897756,-0.542147587786648,0.84305949018703
"Nevada",-1.19380547564794,-0.474018593619874,-0.349807578436383,1.43410341483038
"New Hampshire",1.22096036605518,1.30468740178123,-0.622971675548668,0.515834757223177
"New Jersey",-0.346276349562701,0.686356385866299,-0.565423090695211,1.33302436304139
"New Mexico",-1.51315672896483,-1.56865009037572,-0.391655049292197,1.34192287378614
"New York",-0.753327644702979,-0.334732584894599,3.59867299499946,1.3309488464624
"North Carolina",-0.290138580452757,-0.497420635002711,-0.481934090281439,1.14346215763204
"North Dakota",1.81668830395449,0.716904548571327,-0.256821252240798,0.71710381689021
"Ohio",-0.0247690157621601,-0.214533179294497,-0.420478813112508,0.813681651161653
"Oklahoma",-0.288566134753924,-0.929190876419904,0.0214209596652252,1.2090716886641
"Oregon",-0.401830483887829,0.418114801923466,-0.0177444350843708,0.932245319636379
"Pennsylvania",-0.285713060748668,0.105480031574344,-0.348374065230654,0.896916345975503
"Rhode Island",-0.35070186926679,0.110649707277728,0.213112645751139,1.00282001635525
"South Carolina",-0.596213274657381,-0.722812092206261,-0.0655853041934306,1.01980211419307
"South Dakota",1.58445345767617,0.286865320622098,-0.613948092865796,0.75758821563531
"Tennessee",-0.228294663332299,-0.6599247577884,1.64836682458821,0.917792405978535
"Texas",0.0686371740717387,-0.99536004936279,3.83524510182369,1.39018512228782
"Utah",1.68385761291299,0.948534946624619,-0.299364929665561,0.831530659461981
"Vermont",0.86661013123477,0.832630123490094,-0.502812482339335,0.454311722456143
"Virginia",0.414136369483967,0.662927170100151,0.332447873445434,1.19486331695138
"Washington",0.0430728667612196,1.03754587660608,-0.25506420860734,1.14987527686883
"West Virginia",-1.91263761300335,-1.37398513248969,-0.136546594072149,0.45305254191685
"Wisconsin",1.22253281175401,0.605619242829013,-0.648724796153835,0.783836933868458
"Wyoming",0.907315260748798,0.554257707925582,-0.709595093449887,0.634584049411416
