"State","ag_employment_z","construct_employment_z","manu_employment_z","wtrade_employment_z","rtrade_employment_z","trans_employment_z","info_employment_z","finance_employment_z","prof_employment_z","edu_employment_z","arts_employment_z","other_employment_z","public_employment_z"
"Alabama",-0.473879208831415,-0.117458521319043,1.10638625041175,0,0.592413805645293,0.091224353244557,-0.868093974346115,-0.618523151931244,-0.406970904093527,-0.597527312227628,-0.356308823640964,0.540629912004863,0.267759823483242
"Alaska",1.24663659086771,-0.237314155318065,-1.54915109016779,-2.41883159162781,-1.37356121308909,3.56171605276573,0.0858554480122538,-1.74898322073508,-0.904287691173194,0.0203000416266416,-0.031548177093211,-0.0954052785890942,3.62924678496116
"Arizona",-0.523036803108533,0.60167528267509,-0.681500275919029,-0.302353948953475,0.854543808143211,0.091224353244557,0.0858554480122538,1.96538557676324,0.670548801245752,-0.862310463879459,0.386001225611044,-0.413422873886071,-0.137936878764094
"Arkansas",0.116011922493998,0.122252746679001,0.869754210162093,0,2.42732382313071,0.487851976046976,-1.10658132993571,-1.10300603856146,-1.194389150303,0.108561092177253,-0.541886335953967,0.858647507301843,-0.369763565762571
"California",-0.129776048891591,-0.357169789317087,-0.287113542169591,0.907061846860429,-1.24249621184013,0.289538164645767,2.94770371508736,-0.457028856387838,1.33363785068531,-1.08296309025598,0.293212469454542,0.858647507301843,-0.195893550513713
"Colorado",-0.178933643168708,1.2009534526702,-0.786670071585546,0,-0.980366209342209,-0.503717080959073,2.47072900390818,0.673431212415999,1.66518237540509,-1.03883256498068,0.200423713298042,0.540629912004863,-0.311806894012952
"Connecticut",-0.965455151602593,-1.07630359331122,0.159858089413105,-0.302353948953475,-0.718236206844293,-1.0986585151627,0.801317514781031,2.12687987230665,0.421890407705919,1.16769369878457,-0.449097579797466,-0.731440469183048,-0.833416939759525
"Delaware",-0.621351991662768,0.122252746679001,-0.6552078270024,-1.51176974476738,0.985608809392169,0.388695070346372,-1.3450686855253,2.44986846339346,0.131788948576112,0.329213718553778,-0.356308823640964,-1.04945806448003,0.38367316698248
"Florida",-0.768824774494122,1.44066472066824,-1.25993415208487,0.604707897906953,1.24773881189009,0.487851976046976,-0.152631907577338,1.23866124681792,1.16786558832542,-1.2594851913572,1.03552251870655,1.4946826978958,-0.42772023751219
"Georgia",-0.670509585939886,-0.237314155318065,0.107273191579846,0.907061846860429,-0.0629112005995002,1.57857793875363,1.27829222596022,-0.053293117529325,0.960650260375557,-1.34774624190781,-0.124336933249712,-0.0954052785890942,-0.195893550513713
"Hawaii",-0.523036803108533,0.361964014677045,-1.86466047716734,-0.604707897906951,-0.325041203097416,0.884479598849396,-0.391119263166931,0.10820117801408,-0.116869444963721,-0.774049413328848,2.98408639799307,-1.04945806448003,2.06441664772144
