"Dim.1","Dim.2","Dim.3","state","fair_chance","tot_pos_index","neg_combo_index","licensing_rank"
1.07586176081151,-1.81264103449598,0.256639971341361,"Alabama",26.67,0.2275082026,421.0666667,25
-0.916426133340798,0.154109291909702,3.05186357849857,"Alaska",25.01,0.06666666667,283.4,19
0.586939401606633,0.304336175329274,-0.750237586829905,"Arizona",27.65,0.6876087409,425.15,5
0.965927680014202,-1.73128385224582,1.32644588460752,"Arkansas",16.08,0.3009621703,451.9333333,9
3.13865075483189,2.34824458048254,-0.758232898215504,"California",74.22,0.8622337054,838.5666667,2
-0.930724339292603,1.34340306213563,0.0238274885764118,"Colorado",25.44,0.7755449264,317.1166667,46
0.255113191676536,2.01894564251611,1.22430849598257,"Connecticut",18,0.7702262236,277.8833333,15
-0.240233233518599,1.32628645621867,2.02951747211559,"Delaware",17.55,0.33738196,284.2833333,33
0.97244494212196,0.300752539541578,-0.940200599968947,"Florida",17.64,0.3933886552,588.1333333,23
1.30937013890698,-1.07270405575474,-0.612581356105836,"Georgia",18.93,0.5126904095,420.65,35
-0.441178331664328,2.12252176792112,1.47996449208059,"Hawaii",15.56,0.3825396781,189.2166667,4
-1.35552263727436,-0.829964749176611,0.360604919122841,"Idaho",36.97,0.25,239.95,14
1.0912804376139,1.46097651855184,0.733562324364581,"Illinois",23.02,0.5982436294,651.4333333,38
-0.329813318788521,-1.04183774726371,0.0112594225010015,"Indiana",15.72,0.5738622515,344.8333333,43
-1.83924461181547,-0.658149029020369,0.415506668404093,"Iowa",15.32,0.434502954,280.65,12
-1.36473629566632,-0.0344677148885347,-1.2827464557542,"Kansas",24.93,0.2892596241,314.8166667,45
0.750814093094312,-1.11880537242334,-0.643282474314634,"Kentucky",27.01,0.4893046125,372.6666667,40
2.72427041460871,-2.15670725974387,0.689508411412752,"Louisiana",20.1,0.5740337511,675.6,6
-1.6055789365794,0.664903120588328,-0.668244989062126,"Maine",28.18,0.2611111067,223,32
0.139239098939522,1.94673451287992,-0.0124849719629693,"Maryland",18.83,0.319213603,449.65,21
0.035707339757962,2.20203502703867,-0.00316372222116173,"Massachusetts",17.54,0.5516650517,341.9,29
0.394055417938399,0.839714620148107,0.0154218412149926,"Michigan",28.73,0.50533388,424.75,30
-2.06167608033803,0.589887691308723,-2.03766271676618,"Minnesota",19.04,0.7862798733,268.5166667,44
2.54637631349445,-2.40380521079728,1.19972060891889,"Mississippi",12.68,0.1785714286,395.7666667,18
-0.984863007089023,-1.10170355718332,0.155158686919979,"Missouri",22,0.1944942505,324.8,47
-1.97489313011336,-1.09896385277404,0.418756883123428,"Montana",40.28,0.0380952381,220.5333333,48
-1.86269597884255,-0.694460363648181,-0.38083874913588,"Nebraska",13.85,0.1623809524,296.8666667,27
2.16700596953149,0.985504964342425,-1.17774957278019,"Nevada",22.7,0.2203174514,445.6,1
-2.78168874156894,-0.0884444612883944,1.08352620369633,"New Hampshire",15.7,0.229047619,442.6,42
0.957644978111112,2.75139398316605,0.0802603117916268,"New Jersey",21.13,0.3514209763,543.6,28
2.31486183641124,0.0298165109204543,2.33698997705106,"New Mexico",19.93,0.7266269752,348.6,10
3.17920490293939,1.47694813385834,-0.240232804689227,"New York",34.37,0.6495986446,541.5,36
0.0305639639042903,-0.136030879713611,-0.248398820478486,"North Carolina",25.7,0.792259997,409.6666667,17
-2.42490515456842,-0.851326506669684,-0.0333380888740995,"North Dakota",22.63,0.2933333333,243.1833333,22
-0.337380980960042,-1.1045150875484,0.491108833378276,"Ohio",22.33,0.6220014608,618.4833333,39
0.759554457207663,-1.5455759395627,-0.68903364872792,"Oklahoma",20.64,0.4338095238,571.35,34
0.237985675717777,1.20642361237168,-1.06465267363135,"Oregon",33.68,0.2114027543,419.95,7
-0.727168949965806,0.245318695741316,-0.0267619237108076,"Pennsylvania",20.5,0.2799068034,417.85,31
0.915450828586342,1.6189012390715,1.24841067006963,"Rhode Island",18.98,0.3663492019,247.35,11
0.773418098473937,-1.47557584728136,-0.73540817408841,"South Carolina",18.38,0.2041309803,352.7166667,20
-2.14435906067306,-1.07407530344675,0.554024723772262,"South Dakota",19.05,0.05464285714,226.6166667,49
1.17603696628643,-1.73875169797996,0.39554559943105,"Tennessee",15.52,0.5516948253,456.5833333,13
4.02041447291375,-1.51248327039704,-2.42764046680301,"Texas",22.49,0.5283789882,717.2166667,41
-1.84478356283628,-0.384564767426297,-1.21169891654163,"Utah",16.78,0.540952381,279.5666667,26
-2.56969031984771,0.196969269408499,-0.19542975859595,"Vermont",22.63,0.4917063448,151.25,50
-0.406384175029522,0.426890015821671,-2.15667351078478,"Virginia",22.56,0.3437776525,394.2166667,3
-0.181663441091486,1.84835826714068,-0.688381798056415,"Washington",35.56,0.585781681,412.6833333,8
1.29188788354021,-1.85000332473413,0.656857083879017,"West Virginia",18.4,0.2595238095,424.9333333,16
-2.34559265308228,-0.0348810484065808,-0.999579490701341,"Wisconsin",28.86,0.1190702786,275.75,37
-2.13887794509369,-0.857653764542103,-0.254134383453453,"Wyoming",26.25,0.1357142857,209.65,51
