Location,Private,Vendors,Public,Background checks for some positions,Background check only after offer or finalists,EEOC Criteria,NCA,State,Population,Employer Index,Background Check Index,EEOC Index,NCA Index,Place Index
 Hamilton County,,,X,,,,, OHIO ,827671.0,0.0,0.0,0,0.0,0.0
 Lucas County,,,X,,,,, OHIO ,430014.0,0.0,0.0,0,0.0,0.0
 Massillon,,,X,,,X,, OHIO ,", 32179.0",0.0,0.0,0,0.0,0.0
 Newark,,,X,,,,, OHIO ,", 50062.0",0.0,0.0,0,0.0,0.0
 Stark County,,,X,,,,, OHIO ,374199.0,0.0,0.0,0,0.0,0.0
 Summit County,,,X,X,,X,, OHIO ,539361.0,0.0,0.0,0,0.0,0.0
 Warren,,,X,X,X,,N, OHIO ,", 39204.0, 13659.0",0.0,0.0,0,0.0,0.0
 Youngstown,,,X,,X,,, OHIO ,", 60048.0",0.0,0.0,0,0.0,0.0
 OKLAHOMA,,,X,,,,,,3970497.0,0.15,0.0,0,0.0,0.0375
 OREGON ,X,X,X,,,,A,,4229374.0,1.0,0.0,0,0.34,0.335
 Multnomah County,,,X,,,X,, OREGON ,808098.0,0.0,0.0,0,0.0,0.0
 Portland,X,X,X,,X,X,"N, A", OREGON ,", 646101.0",0.0,0.0,0,0.0,0.0
 PENNSYLVANIA ,,,X,,,,,,12989208.0,0.15,0.0,0,0.0,0.0375
 Allegheny County,,,X,X,X,X,, PENNSYLVANIA ,1245310.0,0.0,0.0,0,0.0,0.0
 Allentown,,,X,,X,,, PENNSYLVANIA ,", 125292.0",0.0,0.0,0,0.0,0.0
 Beaver County,,,X,,,,, PENNSYLVANIA ,167629.0,0.0,0.0,0,0.0,0.0
 Bethlehem,,,X,,X,X,, PENNSYLVANIA ,", 76555.0, 845.0, 379.0",0.0,0.0,0,0.0,0.0
 Lancaster,,,X,,X,X,, PENNSYLVANIA ,", 612.0, 57970.0",0.0,0.0,0,0.0,0.0
 Northampton County,,,X,,,,, PENNSYLVANIA ,314299.0,0.0,0.0,0,0.0,0.0
 Philadelphia,X,X,X,,X,X,"N, C, A", PENNSYLVANIA ,", 1052.0, 1593208.0",0.0,0.0,0,0.0,0.0
 Pittsburgh,,X,X,,X,,N, PENNSYLVANIA ,", 1866.0, 303843.0, 812.0, 1428.0",0.0,0.0,0,0.0,0.0
 Reading,,,X,,X,,, PENNSYLVANIA ,", 94601.0, 4533.0",0.0,0.0,0,0.0,0.0
 York,,,X,,,,, PENNSYLVANIA ,", 8853.0, 578.0, 2374.0, 3165.0, 5069.0, 44782.0, 221.0, 762.0, 1637.0, 922.0",0.0,0.0,0,0.0,0.0
 RHODE ISLAND ,X,X,X,,,,A,,1094250.0,1.0,0.0,0,0.34,0.335
 Providence,,,X,,,,, RHODE ISLAND ,", 47012.0, 189715.0",0.0,0.0,0,0.0,0.0
SOUTH CAROLINA,,,,,,,,,5142750.0,0.0,0.0,0,0.0,0.0
 Aiken,,,X,,X,X,"N, C",SOUTH CAROLINA,", 32014.0",0.0,0.0,0,0.0,0.0
 Columbia,,,X,X,X,X,"N, C",SOUTH CAROLINA,", 136754.0, 17459.0",0.0,0.0,0,0.0,0.0
 Richland County,,,X,,,,,SOUTH CAROLINA,416161.0,0.0,0.0,0,0.0,0.0
York County,,,X,,X,,,SOUTH CAROLINA,282987.0,0.0,0.0,0,0.0,0.0
 TENNESSEE ,,,X,,,X,A,,6923772.0,0.15,0.0,1,0.34,0.3725
 Chattanooga,,,X,,,,, TENNESSEE ,", 181288.0",0.0,0.0,0,0.0,0.0
 Hamilton County,,,X,,X,,, TENNESSEE ,367193.0,0.0,0.0,0,0.0,0.0
 Memphis,,,X,,,X,"N, C, A", TENNESSEE ,", 630027.0",0.0,0.0,0,0.0,0.0
 Nashville,,,X,,,,, TENNESSEE ,", 684103.0",0.0,0.0,0,0.0,0.0
TEXAS,,,,,,,,,29243342.0,0.0,0.0,0,0.0,0.0
 Austin,X,X,X,X,X,X,"N, A",TEXAS,", 958202.0",0.0,0.0,0,0.0,0.0
 Dallas County,,,X,,,X,A,TEXAS,2604053.0,0.0,0.0,0,0.0,0.0
 DeSoto,X,X,X,,,,A,TEXAS,", 55882.0",0.0,0.0,0,0.0,0.0
 San Antonio,,,X,,X,X,,TEXAS,", 1445662.0",0.0,0.0,0,0.0,0.0
 Travis County,,,X,X,X,X,,TEXAS,1289054.0,0.0,0.0,0,0.0,0.0
 UTAH ,,,X,,,,,,3283809.0,0.15,0.0,0,0.0,0.0375
 VERMONT  ,X,X,X,,,,A,,643816.0,1.0,0.0,0,0.34,0.335
 VIRGINIA  ,,,X,,,X,,,8624511.0,0.15,0.0,1,0.0,0.2875
 Alexandria,,,X,,X,,, VIRGINIA  ,", 157594.0",0.0,0.0,0,0.0,0.0
 Arlington County,,,X,,,,, VIRGINIA  ,235845.0,0.0,0.0,0,0.0,0.0
 Blacksburg,,,X,,X,X,, VIRGINIA  ,", 45147.0",0.0,0.0,0,0.0,0.0
 Charlottesville,,,X,,,,, VIRGINIA  ,", 46289.0",0.0,0.0,0,0.0,0.0
 Danville,,,X,,X,X,, VIRGINIA  ,", 42507.0",0.0,0.0,0,0.0,0.0
 Fairfax County,,,X,,X,,, VIRGINIA  ,1145354.0,0.0,0.0,0,0.0,0.0
 Fredericksburg,,,X,,X,X,N, VIRGINIA  ,", 28258.0",0.0,0.0,0,0.0,0.0
 Harrisonburg,,,X,,X,,"N, A", VIRGINIA  ,", 51784.0",0.0,0.0,0,0.0,0.0
 Henry County,,,X,,,,, VIRGINIA  ,50760.0,0.0,0.0,0,0.0,0.0
 Montgomery County,,,X,,,,, VIRGINIA  ,99373.0,0.0,0.0,0,0.0,0.0
 Newport News,,,X,,,X,, VIRGINIA  ,", 185118.0",0.0,0.0,0,0.0,0.0
 Norfolk,,,X,,,X,, VIRGINIA  ,", 236973.0",0.0,0.0,0,0.0,0.0
 Petersburg,,,X,,,,, VIRGINIA  ,", 33261.0",0.0,0.0,0,0.0,0.0
 Portsmouth,,,X,,,,, VIRGINIA  ,", 97384.0",0.0,0.0,0,0.0,0.0
 Prince William County,,,X,,,,, VIRGINIA  ,481114.0,0.0,0.0,0,0.0,0.0
 Richmond,,,X,,,,, VIRGINIA  ,", 227171.0",0.0,0.0,0,0.0,0.0
 Roanoke,,,X,,,,, VIRGINIA  ,", 99213.0",0.0,0.0,0,0.0,0.0
 Staunton,,,X,,,,, VIRGINIA  ,", 25581.0",0.0,0.0,0,0.0,0.0
 Virginia Beach,,,X,,X,X,, VIRGINIA  ,", 457900.0",0.0,0.0,0,0.0,0.0
 WASHINGTON  ,X,X,X,,,,A,,7688549.0,1.0,0.0,0,0.34,0.335
 Seattle,X,X,X,,,X,"N, C, A", WASHINGTON  ,", 734603.0",0.0,0.0,0,0.0,0.0
 Spokane,X,X,X,,,X7,, WASHINGTON  ,", 10228.0, 227922.0, 103761.0",0.0,0.0,0,0.0,0.0
 Spokane County,,,X,,,X,"N, C, A", WASHINGTON  ,538711.0,0.0,0.0,0,0.0,0.0
 Tacoma,,,X,,X,X,"N, C", WASHINGTON  ,", 219234.0",0.0,0.0,0,0.0,0.0
 Pierce County,,,X,,,X,N, WASHINGTON  ,918993.0,0.0,0.0,0,0.0,0.0
 WISCONSIN ,,,X,,,,,,5882128.0,0.15,0.0,0,0.0,0.0375
 Dane County,,,X,,,,, WISCONSIN ,559891.0,0.0,0.0,0,0.0,0.0
 Madison,,X8,X8,,X,,"N9, A10", WISCONSIN ,", 268516.0",0.0,0.0,0,0.0,0.0
 Milwaukee,,,X,,,,, WISCONSIN ,", 573299.0, 20678.0, 4096.0",0.0,0.0,0,0.0,0.0
 Milwaukee County,,,X,,,,, WISCONSIN ,933063.0,0.0,0.0,0,0.0,0.0
