"state","fips","median_age","median_income","poverty_perc","white_poverty_perc","blkAA_poverty_perc","AIAN_poverty_perc","asian_poverty_perc","PI_poverty_perc","other_poverty_perc","twomore_poverty_perc","hisp_poverty_perc","whitenon_poverty_perc","whitenon_edu_perc","white_edu_perc","blkAA_edu_perc","AIAN_edu_perc","asian_edu_perc","PI_edu_perc","other_edu_perc","twomore_edu_perc","hisp_edu_perc","no_highschool","employment_perc","unemployment_perc","leg_ctrl","gov_party","state_ctrl","bills_introduced","bills_enacted","reincarceration","det_sentencing","ag_employment","construct_employment","manu_employment","wtrade_employment","rtrade_employment","trans_employment","info_employment","finance_employment","prof_employment","edu_employment","arts_employment","other_employment","public_employment","white_perc","blkAA_perc","AIAN_perc","asian_perc","PI_perc","other_perc","twomore_perc","foreign_perc","able_to_work"
"Idaho",16,36.9,41283,7.3,6.6,15.8,20.1,8.8,22.9,14.1,10.4,13.4,6.3,32,31.4,24.1,14.7,49,33.5,11.1,23.9,14.4,8.6,60.2,3.8,"0","0","0",635,339,37,"0",4.3,9.1,9.6,2.5,11.8,4.9,1.6,5.7,9.9,22.2,8.9,4.5,4.9,0.821246844934441,0.00855089374946305,0.0139312252801089,0.0145918723553727,0.00202598436414214,0.0563491174516314,0.0833040618648409,0.0598122878775142,1.05433455167891
"Illinois",17,38.7,46674,8.2,5.5,20.4,10.3,6.7,18.7,13.8,10.3,12,5,40.8,39.2,23.9,18.6,66.6,25.9,13.8,28.5,17.7,9.9,61.1,6,"1","1","1",7031,902,37,"1",1,5.5,11.6,2.8,10.5,6.9,1.7,7.4,12.5,23.3,8.4,4.6,3.7,0.614105138509962,0.141133258219234,0.00753154651688803,0.0589172705297043,0.000351297341628977,0.0885969398028864,0.0893645490796962,0.143863884625313,0.982011640500049
"Indiana",18,38,39134,8.5,6.7,21.8,15.2,9.4,6.4,17.8,13.6,15.9,6.5,29,28.8,20,18.5,57.1,13.1,13.7,26.5,17.8,10,61,4.5,"0","0","0",1363,435,30,"1",1.2,6.4,18.6,2.3,11,5.9,1.2,5.3,8.8,23.1,8.1,4.5,3.6,0.772496259686792,0.0955729605713807,0.00384435816932743,0.0247525321537248,0.000462307428397613,0.0385101940482745,0.0643613879421027,0.0606649722517235,1.0070015185259
"Iowa",19,38.4,41684,7,6,27.8,26.5,7.3,29.8,12.2,13.8,15.1,5.7,31.1,30.7,18.2,13.9,47.3,12.1,15.9,26.2,15.6,7,64,3.8,"0","0","0",1862,201,37,"0",3.7,6.7,14.9,2.7,11.6,5.2,1.4,7.7,7.5,24.2,7,4.2,3.2,0.84457973356687,0.0413657479746073,0.00454054060831208,0.0237054083712574,0.00180480690478123,0.0278086954831871,0.0561950670909854,0.0595925595770933,1.00318082328408
"Kansas",20,37.1,40520,7.6,6.2,17.8,17.5,9.1,13.8,18.2,14.2,16.3,5.7,37.5,36.4,22.2,18.1,51.7,10.6,13.7,25.8,15.3,8.2,62.7,4,"0","1","0.5",882,161,27,"1",3.1,6.4,12.4,2.5,10.6,5.3,1.7,6.5,9.8,24.6,8,4.5,4.6,0.756484948330088,0.0574594605633995,0.0105501245796288,0.0293657331136738,0.00116138167658311,0.0494989584326113,0.0954793933040151,0.07067497403946,0.999751521505303
"Kentucky",21,39.1,34807,11.7,10.7,21.1,14.2,9,4.9,22.4,18.2,18.5,10.6,26.8,26.7,19.5,16.8,55,10.2,18,24.8,21.8,11.8,56.1,5.1,"0","1","0.5",1247,443,29,"0",1.8,6.2,14.2,2.3,11.8,6.8,1.4,5.6,9,24,8.1,4.5,4.3,0.823654922194239,0.0804327987081643,0.00284098222838115,0.0165176895031244,0.000816940518918132,0.0213982488488263,0.054338417998347,0.0400901090572235,1.00143680329244
"Louisiana",22,37.6,33230,13.9,8.6,25.2,15.3,11.1,19.8,25.7,16.5,19.1,8.4,30.1,29.9,17.4,12.3,45.4,33.5,16,28.1,22.2,13.3,54.9,6.6,"0","0","0",1623,1125,30,"0",3.4,8.1,7.5,2.5,11.3,5.7,1.4,5.1,9.5,25,9.8,5.2,5.5,0.570586228521582,0.31431931721642,0.00679661905934552,0.0185578595019019,0.000410283318773392,0.030636849453503,0.0586928429284739,0.0420228480378263,0.985504610910359
"Maine",23,44.8,39563,6.4,6.1,19.1,15.6,7.9,0,12.7,10.5,8.3,6.1,34.1,34.2,32.3,19.3,45.7,25.1,40.2,31.3,36,5.9,59.5,4,"1","1","1",2170,557,21,"1",2.5,7.6,9,1.9,12.9,4.3,1.6,6.4,9.6,27.4,7.8,4.5,4.4,0.908013966949974,0.0189025066080233,0.00578775491628858,0.0123300833333945,0.000325171265430037,0.00714202350481775,0.0474984934220716,0.0342284204599593,1.01686853465203
"Maryland",24,39.1,59311,6.2,3.8,9.6,10.7,5.9,1.3,12.7,8.3,10,3.7,47.4,46.8,32.7,24.3,64.1,39.5,16.3,44.8,24.7,9,63.2,5.1,"1","1","1",2031,713,32,"0",0.6,7.4,4.7,1.7,9.2,5,1.8,6,16.1,23.6,7.8,5.3,11,0.486929727657602,0.294707137057034,0.00515522830319898,0.0681445257610862,0.000525640643758426,0.0665251899558766,0.0780125506214442,0.167034353881641,0.997966076671333
"Massachusetts",25,39.8,56588,6.5,4.6,13.4,18.5,7.4,15.1,16.8,13.8,18.6,4,49.2,48.3,30.3,24.4,63.4,40.5,18.9,33.5,22.4,8.8,63.5,5.3,"1","1","1",10508,21,29,"0",0.4,6,9,2,9.9,4.2,2.1,7.3,15.3,27.9,7.7,4.3,3.8,0.696457298144487,0.0702752251555744,0.00341654104877767,0.0722532001444683,0.000327315386511676,0.0706595824673321,0.0866108376528485,0.180446246290805,0.993180147077128
