fips,state,median_age,median_income,foreign_born,poverty_perc,white_poverty_perc,blkAA_poverty_perc,AIAN_poverty_perc,asian_poverty_perc,PI_poverty_perc,other_poverty_perc,twomore_poverty_perc,hisp_poverty_perc,whitenon_poverty_perc,total_population,white_total,blkAA_total,AIAN_total,asian_total,PI_total,other_total,twomore_total,whitenon_edu_perc,white_edu_perc,blkAA_edu_perc,AIAN_edu_perc,asian_edu_perc,PI_edu_perc,other_edu_perc,twomore_edu_perc,hisp_edu_perc,no_highschool,employment_total,unemployment_perc,leg_ctrl,gov_party,state_ctrl,bills_intro,bills_enacted,reincarceration,determ_senten,prob_complete_rate,parole_complete_rate,rev_rate
30,Montana,40.1,39863,NA,7.3,6,9.7,30.1,10.3,1.5,13.4,11.4,14.6,5.9,1084225,916524,5484,67612,8300,941,14089,71275,35.3,35.1,27.9,15,53,14.3,28.2,29.8,23.5,5.5,555742,3.9,Rep,Rep,,"1,801",807,37%,1,47.15302491,52.77777778,41.08187135
31,Nebraska,36.9,41249,142569,6.7,5.4,19.4,21.1,5.8,16.8,15,12.9,14.5,5,1961504,1538052,96535,23102,52951,1534,105167,144163,35.8,35.1,21,12.9,43.6,16.7,13.2,25.9,15,8.1,1047813,3.1,N/A,Rep,N/A,"1,133",165,30%,1,72.42986118,66.17790811,33.0400782
32,Nevada,38.5,46110,600957,9,6.7,17,19.3,7.7,10.5,15.1,10.3,13.1,5.7,3104614,1588463,304739,43932,272703,25011,435757,434009,31.7,29.5,20.2,12.2,41.6,18.8,9.4,19.9,12.3,12.9,1566279,7,Dem,Rep,Divided,968,494,24%,1,98.63416684,98.4984985,N/A
33,New Hampshire,43.1,51252,86751,4.4,4.1,10.7,1.4,5.3,0,7.8,7.7,10.8,4,1377529,1216203,20127,3031,35871,453,24102,77742,39.1,38.9,26.2,22.1,61.1,26.6,28.7,34,26.7,6.2,768414,3.6,Rep,Rep,Rep,787,129,48%,1,35.83061889,3.144654088,13.83647799
34,New Jersey,40,55112,2181082,6.9,4.6,12.5,13.4,4.6,12.6,16.5,11.6,14.4,3.7,9288994,5112280,1219770,51186,950090,3533,1048641,903494,46.9,44.7,27.1,20.8,71.8,30.9,17.1,32.3,21.9,9.4,4927193,6.2,Dem,Dem,Dem,"1,434",56,29%,1,N/A,76.75183895,17.77003484
35,New Mexico,38.6,36646,196873,13.7,10.8,17.4,27.9,7.6,14.5,19.7,14.6,17.6,7.1,2117522,1078937,45904,212241,37469,2093,318632,422246,42.2,34.6,31.2,11.5,54,28.6,13.7,24.1,18.7,12.9,962817,6.2,Dem,Dem,Dem,"1,294",351,49%,1,97.67001326,41.9395466,50.88161209
36,New York,39.3,50120,4459752,9.7,6.4,16.5,18.9,11.1,13.7,19.1,12.9,17.1,5.7,20201249,11143349,2986172,149690,1933127,10815,2210633,1767463,45.4,44,25.9,19.6,49,19.1,17.4,34,22,12.4,10253938,6.2,Dem,Dem,Dem,"17,159","2,428",32%,1,66.9435149,75.86206897,14.35849643
37,North Carolina,39.1,40251,916787,9.5,6.7,16.9,20.6,6.3,7.7,20,14.4,18.9,6.2,10439388,6488459,2140217,130032,343051,8518,617390,711721,37.6,37.1,23.7,14.2,61.2,26.1,14.4,30,18,10.6,5188874,5.1,Rep,Dem,Divided,"1,650",128,36%,1,58.76119785,78.52684145,1.402658442
38,North Dakota,35.4,44337,NA,6.1,4.3,20.6,26.5,20.3,52.4,15.9,9.9,14.3,4.1,779094,645938,26783,38914,13213,924,11382,41940,32.4,32.3,25.3,14.4,57.8,15.8,18.6,25.4,18.3,6.5,416963,2.9,Rep,Rep,Rep,990,628,36%,1,0,70.88733799,10.56829511
39,Ohio,39.6,40001,585938,9.3,6.9,23.3,25.9,7.6,38.2,21.5,17.6,19.5,6.8,11799448,9080688,1478781,30720,298509,5034,224344,681372,31.5,31.3,19.3,14.1,60.6,29.4,18.6,27.9,22.2,8.6,5987111,5,Rep,Rep,Rep,826,423,33%,1,44.10946322,61.023766,24.40585009
40,Oklahoma,36.9,36858,242754,11,8.9,21.8,15.8,11.3,40.5,18.9,14.5,18.1,8.3,3959353,2514885,289961,332791,90949,8608,214001,508158,29.9,29.2,21.8,18.2,43.1,14.4,10.3,23.7,13,11.1,1892374,4.9,Rep,Rep,Rep,"3,371",459,18%,1,81.90309998,95.0310559,N/A
41,Oregon,39.9,47250,420943,7.3,6.5,19.3,14.3,7.5,19.6,13,9.1,12.3,6.2,4237256,3169096,82655,62993,194538,19204,265431,443339,36.9,36.2,32.5,15.9,54.6,19.3,15,29.9,18.9,8.4,2165226,5.5,Dem,Dem,Dem,"2,970",499,13%,1,0,N/A,N/A
