Location,Private,Vendors,Public,Background checks for some positions,Background check only after offer or finalists,EEOC Criteria,NCA,State,Population,Employer Index,Background Check Index,EEOC Index,NCA Index,Place Index,Interim Index,Total Index
Boston,,X,X,X,,,"N, A",MASSACHUSETTS,665945.0,0.2,0.25,0,0.3333332,0.26111106666666667,0.018540302863103247,
Cambridge,,X,X,,,X,"N, C, A",MASSACHUSETTS,117962.0,0.2,0.0,1,0.4999998,0.5666666,0.008444911358682436,
Worcester,,X,X,X,,X,"N, C, A",MASSACHUSETTS,204191.0,0.2,0.25,1,0.4999998,0.6499999333333334,0.017054396750085847,
MICHIGAN,,,X,,,,,,10057921.0,0.15,0.0,0,0.0,0.049999999999999996,0.049999999999999996,0.060002733559523215
Ann Arbor,,,X,,X,X,,MICHIGAN,122216.0,0.15,0.25,1,0.0,0.4666666666666666,0.005063007885360537,
Detroit,,X,X,,,,,MICHIGAN,636787.0,0.2,0.0,0,0.0,0.06666666666666667,0.0010551998436522485,
East Lansing,,,X,,,,,MICHIGAN,45403.0,0.15,0.0,0,0.0,0.049999999999999996,0.0,
Genesee County,,,X,,X,,,MICHIGAN,405280.0,0.15,0.25,0,0.0,0.13333333333333333,0.003357884132648619,
Kalamazoo,,X,X,,,,C,MICHIGAN,73342.0,0.2,0.0,0,0.1666666,0.1222222,0.0005266416978618146,
Muskegon County,,,X,,,,,MICHIGAN,175947.0,0.15,0.0,0,0.0,0.049999999999999996,0.0,
MINNESOTA,X,X,X,,,X2,"N2, A",,5695292.0,1.0,0.0,1,0.3333332,0.7777777333333334,0.7777777333333334,0.7885422238399953
Minneapolis,,,X,X,,X,,MINNESOTA,426877.0,0.15,0.25,1,0.0,0.4666666666666666,0.0062460508316927975,
St Paul,,,X,X,,X,,MINNESOTA,308806.0,0.15,0.25,1,0.0,0.4666666666666666,0.004518439674968963,
MISSOURI,,,X,,,,,,6154422.0,0.15,0.0,0,0.0,0.049999999999999996,0.049999999999999996,0.13675696695564046
Columbia,X,X,X,,X,X,A,MISSOURI,126172.0,1.0,0.25,1,0.1666666,0.8055555333333334,0.015489667876485126,
Jackson County,,,X,,,,,MISSOURI,715526.0,0.15,0.0,0,0.0,0.049999999999999996,0.0,
Kansas City,X,X,X,,X,X,,MISSOURI,505958.0,1.0,0.25,1,0.0,0.75,0.057547337507892704,
