Location,Private,Vendors,Public,Background checks for some positions,Background check only after offer or finalists,EEOC Criteria,NCA,State,Population,Employer Index,Background Check Index,EEOC Index,NCA Index,Place Index,Interim Index,Total Index
Dayton,,,X,,,X,N,OHIO,137305.0,0.15,0.0,1,0.1666666,0.43888886666666665,0.0006478350631038927,
Franklin County,,,X,,X,X,N,OHIO,1318149.0,0.15,0.25,1,0.1666666,0.5222222,0.015548292952583096,
Hamilton County,,,X,,,,,OHIO,827671.0,0.15,0.0,0,0.0,0.049999999999999996,0.0,
Lucas County,,,X,,,,,OHIO,430014.0,0.15,0.0,0,0.0,0.049999999999999996,0.0,
Massillon,,,X,,,X,,OHIO,32179.0,0.15,0.0,1,0.0,0.3833333333333333,0.0,
Newark,,,X,,,,,OHIO,50062.0,0.15,0.0,0,0.0,0.049999999999999996,0.0,
Stark County,,,X,,,,,OHIO,374199.0,0.15,0.0,0,0.0,0.049999999999999996,0.0,
Summit County,,,X,X,,X,,OHIO,539361.0,0.15,0.25,1,0.0,0.4666666666666666,0.0038172365234800804,
Warren,,,X,X,X,,N,OHIO,39204.0,0.15,0.5,0,0.1666666,0.2722222,0.0007398924564508446,
Youngstown,,,X,,X,,,OHIO,60048.0,0.15,0.25,0,0.0,0.13333333333333333,0.0004249795939304693,
OKLAHOMA,,,X,,,,,,3970497.0,0.15,0.0,0,0.0,0.049999999999999996,0.049999999999999996,0.049999999999999996
OREGON,X,X,X,,,,A,,4229374.0,1.0,0.0,0,0.1666666,0.3888888666666667,0.3888888666666667,0.5332042479227108
Multnomah County,,,X,,,X,,OREGON,808098.0,0.15,0.0,1,0.0,0.3833333333333333,0.06368933085605577,
Portland,X,X,X,,X,X,"N, A",OREGON,646101.0,1.0,0.25,1,0.3333332,0.8611110666666667,0.08062605039998827,
PENNSYLVANIA,,,X,,,,,,12989208.0,0.15,0.0,0,0.0,0.049999999999999996,0.049999999999999996,0.10191496919763957
Allegheny County,,,X,X,X,X,,PENNSYLVANIA,1245310.0,0.15,0.5,1,0.0,0.5499999999999999,0.0479363329927429,
Allentown,,,X,,X,,,PENNSYLVANIA,125292.0,0.15,0.25,0,0.0,0.13333333333333333,0.0008038211413659708,
Beaver County,,,X,,,,,PENNSYLVANIA,167629.0,0.15,0.0,0,0.0,0.049999999999999996,0.0,
Bethlehem,,,X,,X,X,,PENNSYLVANIA,76555.0,0.15,0.25,1,0.0,0.4666666666666666,0.002455724526596746,
Lancaster,,,X,,X,X,,PENNSYLVANIA,612.0,0.15,0.25,1,0.0,0.4666666666666666,1.963168193164664e-05,
