State,Category_x,Category_y,Category_x,Category_y
Virginia,"Limited felony &
misdemeanor relief
(21)","Certain marijuana-related records
(11, D.C.)","Automatic relief+
(21, D.C.)",Not Available
West Virginia,"Limited felony &
misdemeanor relief
(21)",Not Available,"Discretionary relief
(more burdensome/ restrictive)*
(8)",Not Available
Wyoming,"Limited felony &
misdemeanor relief
(21)",Not Available,Mandatory relief upon request (9),Not Available
Alabama,"Misdemeanors & pardoned felonies
(5)",Not Available,"Discretionary relief (less burdensome/
restrictive)
(9)",Judicial Certificates (11)
Georgia,"Misdemeanors & pardoned felonies
(5)",Not Available,"Discretionary relief (less burdensome/
restrictive)
(9)",Correctional Certificates (7)
Maine,"Misdemeanors & pardoned felonies
(5)",Not Available,"N/A
(3, federal)",Not Available
South Dakota,"Misdemeanors & pardoned felonies
(5)",Certain minor misdemeanors only (1),"Discretionary relief
(more burdensome/ restrictive)*
(8)",Not Available
Texas,"Misdemeanors & pardoned felonies
(5)",Not Available,Mandatory relief upon request (9),Not Available
Iowa,"Misdemeanor relief
(3)",Not Available,"Discretionary relief
(more burdensome/ restrictive)*
(8)",Correctional Certificates (7)
Montana,"Misdemeanor relief
(3)",Not Available,"N/A
(3, federal)",Not Available
South Carolina,"Misdemeanor relief
(3)",A range of non-convictions only+ (8),"Automatic relief+
(21, D.C.)",Not Available
Federal,"No general sealing or set-aside+ (4, federal)",Not Available,"N/A
(3, federal)",Not Available
Alaska,"No general sealing or set-aside+ (4, federal)",A range of non-convictions only+ (8),"Automatic relief+
(21, D.C.)",Not Available
Florida,"No general sealing or set-aside+ (4, federal)",Not Available,"Discretionary relief
(more burdensome/ restrictive)*
(8)",Not Available
Hawaii,"No general sealing or set-aside+ (4, federal)",Not Available,Mandatory relief upon request (9),Not Available
Wisconsin,"No general sealing or set-aside+ (4, federal)",Not Available,"N/A
(3, federal)",Not Available
