State,Category
California,"A range of non-convictions, misdemeanors & certain felonies (9)"
Colorado,"A range of non-convictions, misdemeanors & certain felonies (9)"
Connecticut,"A range of non-convictions, misdemeanors & certain felonies (9)"
Delaware,"A range of non-convictions, misdemeanors & certain felonies (9)"
Michigan,"A range of non-convictions, misdemeanors & certain felonies (9)"
Minnesota,"A range of non-convictions, misdemeanors & certain felonies (9)"
New Jersey,"A range of non-convictions, misdemeanors & certain felonies (9)"
New York,"A range of non-convictions, misdemeanors & certain felonies (9)"
Pennsylvania,"A range of non-convictions, misdemeanors & certain felonies (9)"
D.C,"A range of non-convictions & misdemeanors (3, D.C.)"
Oklahoma,"A range of non-convictions & misdemeanors (3, D.C.)"
Utah,"A range of non-convictions & misdemeanors (3, D.C.)"
Virginia,"A range of non-convictions & misdemeanors (3, D.C.)"
South Dakota,Certain minor misdemeanors only (1)
D.C,"Certain marijuana-related records
(11, D.C.)"
California,"Certain marijuana-related records
(11, D.C.)"
Connecticut,"Certain marijuana-related records
(11, D.C.)"
Illinois,"Certain marijuana-related records
(11, D.C.)"
Maryland,"Certain marijuana-related records
(11, D.C.)"
Minnesota,"Certain marijuana-related records
(11, D.C.)"
Missouri,"Certain marijuana-related records
(11, D.C.)"
New Jersey,"Certain marijuana-related records
(11, D.C.)"
New Mexico,"Certain marijuana-related records
(11, D.C.)"
New York,"Certain marijuana-related records
(11, D.C.)"
Vermont,"Certain marijuana-related records
(11, D.C.)"
Virginia,"Certain marijuana-related records
(11, D.C.)"
Alaska,A range of non-convictions only+ (8)
Indiana,A range of non-convictions only+ (8)
Kentucky,A range of non-convictions only+ (8)
Maryland,A range of non-convictions only+ (8)
Nebraska,A range of non-convictions only+ (8)
New Hampshire,A range of non-convictions only+ (8)
North Carolina,A range of non-convictions only+ (8)
South Carolina,A range of non-convictions only+ (8)
