State,Category
Arizona,"Broader felony & misdemeanor relief
(17, D.C.)"
Arkansas,"Broader felony & misdemeanor relief
(17, D.C.)"
California,"Broader felony & misdemeanor relief
(17, D.C.)"
Colorado,"Broader felony & misdemeanor relief
(17, D.C.)"
D.C,"Broader felony & misdemeanor relief
(17, D.C.)"
Illinois,"Broader felony & misdemeanor relief
(17, D.C.)"
Indiana,"Broader felony & misdemeanor relief
(17, D.C.)"
Kansas,"Broader felony & misdemeanor relief
(17, D.C.)"
Massachusetts,"Broader felony & misdemeanor relief
(17, D.C.)"
Michigan,"Broader felony & misdemeanor relief
(17, D.C.)"
Minnesota,"Broader felony & misdemeanor relief
(17, D.C.)"
Nevada,"Broader felony & misdemeanor relief
(17, D.C.)"
New Hampshire,"Broader felony & misdemeanor relief
(17, D.C.)"
New Mexico,"Broader felony & misdemeanor relief
(17, D.C.)"
New York,"Broader felony & misdemeanor relief
(17, D.C.)"
North Dakota,"Broader felony & misdemeanor relief
(17, D.C.)"
Ohio,"Broader felony & misdemeanor relief
(17, D.C.)"
Washington,"Broader felony & misdemeanor relief
(17, D.C.)"
Connecticut,"Limited felony &
misdemeanor relief
(21)"
Delaware,"Limited felony &
misdemeanor relief
(21)"
Idaho,"Limited felony &
misdemeanor relief
(21)"
Kentucky,"Limited felony &
misdemeanor relief
(21)"
Louisiana,"Limited felony &
misdemeanor relief
(21)"
Maryland,"Limited felony &
misdemeanor relief
(21)"
Mississippi,"Limited felony &
misdemeanor relief
(21)"
Missouri,"Limited felony &
misdemeanor relief
(21)"
Nebraska,"Limited felony &
misdemeanor relief
(21)"
New Jersey,"Limited felony &
misdemeanor relief
(21)"
North Carolina,"Limited felony &
misdemeanor relief
(21)"
Oklahoma,"Limited felony &
misdemeanor relief
(21)"
Oregon,"Limited felony &
misdemeanor relief
(21)"
Pennsylvania,"Limited felony &
misdemeanor relief
(21)"
Rhode Island,"Limited felony &
misdemeanor relief
(21)"
Tennessee,"Limited felony &
misdemeanor relief
(21)"
Utah,"Limited felony &
misdemeanor relief
(21)"
Vermont,"Limited felony &
misdemeanor relief
(21)"
Virginia,"Limited felony &
misdemeanor relief
(21)"
West Virginia,"Limited felony &
misdemeanor relief
(21)"
Wyoming,"Limited felony &
misdemeanor relief
(21)"
Alabama,"Misdemeanors & pardoned felonies
(5)"
Georgia,"Misdemeanors & pardoned felonies
(5)"
Maine,"Misdemeanors & pardoned felonies
(5)"
South Dakota,"Misdemeanors & pardoned felonies
(5)"
Texas,"Misdemeanors & pardoned felonies
(5)"
Iowa,"Misdemeanor relief
(3)"
Montana,"Misdemeanor relief
(3)"
South Carolina,"Misdemeanor relief
(3)"
Federal,"No general sealing or set-aside+ (4, federal)"
Alaska,"No general sealing or set-aside+ (4, federal)"
Florida,"No general sealing or set-aside+ (4, federal)"
Hawaii,"No general sealing or set-aside+ (4, federal)"
Wisconsin,"No general sealing or set-aside+ (4, federal)"
