state,industry,totalIndustry,fairChance,propIndustry
Ohio,construction,6000,NA,#VALUE!
Ohio,waste management,21,NA,#VALUE!
Ohio,home health,3000,NA,#VALUE!
Oklahoma,retail,800,21,2.63
Oklahoma,food service,2000,25,1.25
Oklahoma,construction,1000,NA,#VALUE!
Oklahoma,waste management,8,NA,#VALUE!
Oklahoma,home health,900,NA,#VALUE!
Oregon,retail,1000,25,2.5
Oregon,food service,2000,50,2.5
Oregon,construction,2000,NA,#VALUE!
Oregon,waste management,19,17,89.47
Oregon,home health,1000,NA,#VALUE!
Pennsylvania,retail,5000,75,1.5
Pennsylvania,food service,10000,200,2
Pennsylvania,construction,6000,NA,#VALUE!
Pennsylvania,waste management,25,1,4
Pennsylvania,home health,8000,NA,#VALUE!
Rhode Island,retail,300,9,3
Rhode Island,food service,1000,24,2.4
Rhode Island,construction,400,NA,#VALUE!
Rhode Island,waste management,6,6,100
Rhode Island,home health,200,NA,#VALUE!
South Carolina,retail,1000,25,2.5
South Carolina,food service,2000,50,2.5
South Carolina,construction,2000,NA,#VALUE!
South Carolina,waste management,17,16,94.12
South Carolina,home health,500,NA,#VALUE!
South Dakota,retail,300,18,6
South Dakota,food service,700,17,2.43
South Dakota,construction,800,NA,#VALUE!
South Dakota,waste management,1,2,200
South Dakota,home health,75,NA,#VALUE!
Tennessee,retail,1000,25,2.5
Tennessee,food service,3000,100,3.33
Tennessee,construction,2000,NA,#VALUE!
Tennessee,waste management,25,25,100
Tennessee,home health,500,NA,#VALUE!
Texas,retail,4000,75,1.88
Texas,food service,9000,200,2.22
Texas,construction,11000,NA,#VALUE!
Texas,waste management,50,6,12
Texas,home health,2000,NA,#VALUE!
Utah,retail,500,12,2.4
Utah,food service,1000,23,2.3
Utah,construction,1000,NA,#VALUE!
Utah,waste management,13,8,61.54
Utah,home health,200,NA,#VALUE!
Vermont,retail,300,23,7.67
Vermont,food service,600,25,4.17
Vermont,construction,300,NA,#VALUE!
Vermont,waste management,1,NA,#VALUE!
Vermont,home health,100,NA,#VALUE!
Virginia,retail,1000,50,5
Virginia,food service,4000,100,2.5
Virginia,construction,4000,NA,#VALUE!
Virginia,waste management,25,1,4
Virginia,home health,1000,NA,#VALUE!
Washington,retail,1000,50,5
Washington,food service,2000,75,3.75
Washington,construction,2000,NA,#VALUE!
Washington,waste management,25,14,56
Washington,home health,600,NA,#VALUE!
West Virginia,retail,200,15,7.5
West Virginia,food service,700,25,3.57
West Virginia,construction,400,NA,#VALUE!
West Virginia,waste management,8,2,25
West Virginia,home health,100,NA,#VALUE!
Wisconsin,retail,1000,75,7.5
Wisconsin,food service,3000,100,3.33
Wisconsin,construction,2000,NA,#VALUE!
Wisconsin,waste management,25,1,4
Wisconsin,home health,500,NA,#VALUE!
Wyoming,retail,100,9,9
Wyoming,food service,400,17,4.25
Wyoming,construction,400,NA,#VALUE!
Wyoming,waste management,0,NA,#VALUE!
Wyoming,home health,50,NA,#VALUE!
